Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
Reconstruction-based,MAEDAY,schwartz2024MAEDAY,FALSE,1-shot,74.80 ± 0.10,50.10 ± 5.00,59.90 ± 9.50,72.30 ± 1.10,97.10 ± 0.30,97.00 ± 0.20,93.40 ± 0.10,53.10 ± 1.50,63.50 ± 0.50,78.10 ± 2.50,87.20 ± 1.50,81.70 ± 2.90,56.30 ± 4.10,96.70 ± 0.50,79.00 ± 0.20,76.00
Reconstruction-based,INP-Former,luo2025EINP,TRUE,1-shot,99.92,94.73,93.50,99.96,99.67,99.86,100.00,100.00,97.11,69.36,99.86,96.67,89.37,99.74,98.48,95.88
Reconstruction-based,INP-Former,luo2025EINP,TRUE,2-shot,100.00,93.01,95.13,99.88,98.75,100.00,100.00,100.00,97.30,84.83,99.89,100.00,96.00,99.74,99.89,97.63
Reconstruction-based,INP-Former,luo2025EINP,TRUE,4-shot,100.00,95.97,94.14,99.88,98.58,100.00,100.00,100.00,97.82,88.75,99.89,100.00,91.04,99.91,99.76,97.72
Reconstruction-based,INP-Former++,luo2025INP,FALSE,4-shot,,,,,,,,,,,,,,,,97.90
Distance-based,PaDiM,defard2021PADIM,FALSE,1-shot,,,,,,,,,,,,,,,,76.10
Distance-based,PaDiM,defard2021PADIM,FALSE,2-shot,,,,,,,,,,,,,,,,78.90
Distance-based,PaDiM,defard2021PADIM,FALSE,4-shot,,,,,,,,,,,,,,,,71.60
Distance-based,PaDiM,defard2021PADIM,FALSE,8-shot,,,,,,,,,,,,,,,,75.30
Distance-based,DictAS,qu2025DICTAS,FALSE,1-shot,,,,,,,,,,,,,,,,96.10
Distance-based,DictAS,qu2025DICTAS,FALSE,2-shot,,,,,,,,,,,,,,,,97.40
Distance-based,DictAS,qu2025DICTAS,FALSE,4-shot,,,,,,,,,,,,,,,,98.80
Distance-based,GraphCore,xie2023PLFAD,FALSE,1-shot,,,,,,,,,,,,,,,,89.90
Distance-based,GraphCore,xie2023PLFAD,FALSE,2-shot,99.80,95.20,73.20,99.40,81.50,99.50,100.00,96.30,88.60,65.70,100.00,87.30,97.10,97.50,97.50,91.90
Distance-based,GraphCore,xie2023PLFAD,FALSE,4-shot,,,,,,,,,,,,,,,,92.90
